id,spkid,full_name,pdes,name,neo,pha,diameter,prefix,q,per,class
dJ52Q010,1001081,C/1952Q1Harrington,1952 Q1,Harrington,,,,C,1.6649770000000002,,COM
dJ52W010,1001082,C/1952W1Mrkos,1952 W1,Mrkos,,,,C,0.777729,,HYP
dJ53G010,1001083,C/1953G1MrkosHonda,1953 G1,Mrkos-Honda,,,,C,1.022132,,COM
dJ53T010,1001084,C/1953T1Abell,1953 T1,Abell,,,,C,0.9701847859392959,,HYP
dJ53X010,1001085,C/1953X1Pajdusakova,1953 X1,Pajdusakova,,,,C,0.07234700000000001,,PAR
dJ54M010,1001086,C/1954M1Harrington,1954 M1,Harrington,,,,C,2.060608,,PAR
dJ54M020,1001087,C/1954M2KresakPeltier,1954 M2,Kresak-Peltier,,,,C,0.7463770000000001,,HYP
dJ54O010,1001088,C/1954O1Vozarova,1954 O1,Vozarova,,,,C,0.677461,,HYP
dJ54O020,1001089,C/1954O2Baade,1954 O2,Baade,,,,C,3.8699339999999998,,HYP
dJ54Y010,1001090,C/1954Y1HaroChavira,1954 Y1,Haro-Chavira,,,,C,4.076871,,HYP
dJ55G010,1001091,C/1955G1Abell,1955 G1,Abell,,,,C,4.49568,,HYP
dJ55L010,1001092,C/1955L1Mrkos,1955 L1,Mrkos,,,,C,0.534419,130029.0,COM
dJ55N010,1001093,C/1955N1BakharevMacfarlaneKrienke,1955 N1,Bakharev-Macfarlane-Krienke,,,,C,1.42745,,COM
dJ55O010,1001094,C/1955O1Honda,1955 O1,Honda,,,,C,0.884616,,HYP
dJ56E010,1001095,C/1956E1Mrkos,1956 E1,Mrkos,,,,C,0.84224,,PAR
dJ56F01a,1001096,C/1956F1AWirtanen,1956 F1-A,Wirtanen,,,,C,4.447262,,HYP
dJ56R010,1001097,C/1956R1ArendRoland,1956 R1,Arend-Roland,,,,C,0.3160439945879067,,HYP
dJ57P010,1001098,C/1957P1Mrkos,1957 P1,Mrkos,,,,C,0.354933,,COM
dJ57U010,1001099,C/1957U1LatyshevWildBurnham,1957 U1,Latyshev-Wild-Burnham,,,,C,0.53913,,PAR
dJ58D010,1001100,C/1958D1Burnham,1958 D1,Burnham,,,,C,1.322689,,COM
dJ58R010,1001101,C/1958R1BurnhamSlaughter,1958 R1,Burnham-Slaughter,,,,C,1.628198,,COM
dJ59O010,1001102,C/1959O1BesterHoffmeister,1959 O1,Bester-Hoffmeister,,,,C,1.250534,,HYP
dJ59Q010,1001103,C/1959Q1Alcock,1959 Q1,Alcock,,,,C,1.150354,,HYP
dJ59Q020,1001104,C/1959Q2Alcock,1959 Q2,Alcock,,,,C,0.165507,,PAR
dJ59X010,1001105,C/1959X1Mrkos,1959 X1,Mrkos,,,,C,1.253464,,COM
dJ59Y010,1001106,C/1959Y1Burnham,1959 Y1,Burnham,,,,C,0.5043529999999999,,HYP
dJ60B010,1001107,C/1960B1Burnham,1960 B1,Burnham,,,,C,1.170751,,PAR
dJ60M010,1001108,C/1960M1Humason,1960 M1,Humason,,,,C,4.266927,,HYP
dJ60Y010,1001109,C/1960Y1Candy,1960 Y1,Candy,,,,C,1.061612,,COM
dJ61O010,1001110,C/1961O1WilsonHubbard,1961 O1,Wilson-Hubbard,,,,C,0.040199,,COM
dJ61R010,1001111,C/1961R1Humason,1961 R1,Humason,,,,C,2.133412,,COM
