N17a   Nimmo, F., et al., 2017, Mean radius and shape of Pluto and Charon from New Horizons images, Icarus, 287:12-29.                                                                                                                                                                                                                                                           
N17b   NASA, 2017, New Horizons' next target just got a lot more interesting, NASA, on line [https://www.nasa.gov/feature/new-horizons-next-target-just-got-a-lot-more-interesting].                                                                                                                                                                                             
O03a   Osip, D. J., S. D. Kern, and J. L. Elliot, 2003, Physical characterization of the binary Edgeworth-Kuiper belt object 2001 QT297, Earth Moon Planets, 92:409-421.                                                                                                                                                                                                         
O04a   Ortiz, J. L., 2004, A study of trans-Neptunian object 55636 (2002 TX300), Astron. & Astrophys., 420:383-388.                                                                                                                                                                                                                                                              
O12a   Ortiz, J. L., et al., 2012, Albedo and atmospheric constraints of dwarf planet Makemake from a stellar occultation, Nature, 491:566-569.                                                                                                                                                                                                                                  
O17a   Ortiz, J. L., et al., 2017, The size, shape, density and ring of the dwarf planet Haumea from a stellar occultation, Nature, 550:219-223.                                                                                                                                                                                                                                 
P06a   Person, M. J., J. L. Elliot, A. A. S. Gulbis, J. M. Pasachoff, B. A. Babcock, S. P. Souza, and J. Gangestad, 2006, Charon's radius and density from the combined data sets of the 2005 July 11 occultation, Astron. J., 132:1575-1580.                                                                                                                                    
P08a   Petit, J.-M., et al., 2008, The extreme Kuiper belt binary 2001 QW322, Science, 322:432-434.                                                                                                                                                                                                                                                                              
P09a   Perna, D., E. Dotto, M. A. Barucci, A. Rossi, S. Fornasier, and C. de Bergh, 2009, Rotations and densities of trans-Neptunian objects, Astron. & Astrophys., 508:451-455.                                                                                                                                                                                                 
P11a   Parker, A. H., J. J. Kavelaars, J.-M. Petit, L. Jones, B. Gladman, and J. Parker, 2011, Characterization of seven ultra-wide trans-Neptunian binaries, Astrophys. J., 743:1-20.                                                                                                                                                                                           
P12a   Pal, A., et al., 2012, "TNOs are cool":  A survey of the trans-Neptunian region. VII. Size and surface characteristics of (90377) Sedna and 2010 EK139, Astron. & Astrophys., 541:L6.                                                                                                                                                                                     
P13a   Person, M. J., et al., 2013, The 2011 June 23 stellar occultation by Pluto:  Airborne and ground observations, Astron. J., 146:83.                                                                                                                                                                                                                                        
P15a   Pal, A., et al., 2015, Physical properties of the extreme centaur and super-comet candidate 2013 AZ60, Astron. & Astrophys., 583:A93.                                                                                                                                                                                                                                     
P16a   Pal, A., et al., 2016, Large size and slow rotation of the trans-Neptunian object (225088) 2007 OR10 discovered from Herschel and K2 observations, Astron. J., 151:117.                                                                                                                                                                                                   
R06a   Rabinowitz, D. L., K. Barkume, M. E. Brown, H. Roe, M. Schwartz, S. Tourtellotte, and C. Trujillo, 2006, Photometric observations constraining the size, shape, and albedo of 2003 EL61, a rapidly rotating, Pluto-sized object in the Kuiper Belt, Astrophys. J., 639:1238-1251.                                                                                         
R09a   Ragozzine, D., and M. E. Brown, 2009, Orbits and masses of the satellites of the dwarf planet Haumea (2003 EL61), Astron. J., 137:4766-4776.                                                                                                                                                                                                                              
R15a   Ruprecht, J. D., et al., 2015, 29 November 2011 stellar occultation by 2060 Chiron: Symmetric jet-like features, Icarus, 252:271-276.                                                                                                                                                                                                                                     
R87a   Reinsch, K., and M. W. Pakull, 1987, Physical parameters of the Pluto-Charon system, Astron. & Astrophys., 177:L43-L46.                                                                                                                                                                                                                                                   
R94a   Reinsch, K., V. Burwitz, and M. C. Festou, 1994, Albedo maps of Pluto and improved physical parameters of the Pluto-Charon system, Icarus, 108:209-218.                                                                                                                                                                                                                   
S03a   Sicardy, B., et al., 2003, Large changes in Pluto's atmosphere as revealed by recent stellar occultations, Nature, 424:168-170.                                                                                                                                                                                                                                           
S05a   Stansberry, J. A., D. P. Cruikshank, W. G. Grundy, J. L. Margot, J. P. Emergy, Y. R. Fernandez, and G. H. Rieke, 2005, Albedos, diameters (and a density) of Kuiper belt and Centaur objects, 37th DPS Meeting, #52.05.                                                                                                                                                   
S06a   Sicardy, B., et al., 2006, Charon's size and an upper limit on its atmosphere from a stellar occultation, Nature, 439:52-54.                                                                                                                                                                                                                                              
S06b   Spencer, J. R., J. A. Stansberry, W. M. Grundy, and K. S. Noll, 2006, A low density for binary Kuiper Belt Object (26308) 1998 SM165, BAAS, 38:546.                                                                                                                                                                                                                       
S06c   Stansberry, J. A., W. M. Grundy, J. L. Margot, D. P. Cruikshank, J. P. Emery, G. H. Rieke, and D. E. Trilling, 2006, The albedo, size, and density of binary Kuiper belt object (47171) 1999 TC36, Astrophys. J., 643:556-566.                                                                                                                                            
S08a   Stansberry, J., W. Grundy, M. Brown, D. Cruikshank, J. Spencer, D. Trilling, and J. L. Margot, 2008, Physical properties of Kuiper belt objects and Centaurs:  Constraints from Spitzer Space Telescope, in The Solar System Beyond Neptune, ed. by M. A. Barucci, H. Boehnhardt, D. P. Cruikshank, and A. Morbidelli, Univ. of Arizona Press (Tucson, AZ), pp. 161-179.  
S11a   Sicardy, B., et al., 2011, A Pluto-like radius and a high albedo for the dwarf planet Eris from an occultation, Nature, 478:493-496.                                                                                                                                                                                                                                      
S12a   Santos-Sanz, P., et al., 2012, "TNOs are cool":  A survey of the trans-Neptunian region. IV. Size/albedo characterization of 15 scattered disk and detached objects observed with Herschel-PACS, Astron. & Astrophys., 541:A92.                                                                                                                                           
S12b   Sheppard, S. S., D. Ragozzine, and C. Trujillo, 2012, 2007 TY430:  A cold classical Kuiper belt type binary in the plutino population, Astron. J., 143:58.                                                                                                                                                                                                                
S12c   Sicardy, B., et al., 2012, Charon's size and orbit from double stellar occultations, BAAS, DPS, 44:304.01.                                                                                                                                                                                                                                                                
S12d   Stansberry, J. A., W. M. Grundy, M. Mueller, S. D. Benecchi, G. H. Rieke, K. S. Noll, M. W. Buie, H. F. Levison, S. B. Porter, and H. G. Roe, 2012, Physical properties of trans-Neptunian binaries (120347) Salacia-Actaea and (42355) Typhon-Echidna, Icarus, 219:676-688.                                                                                              
S12e   Sekiguchi, T., T. Ootsubo, S. Hasegawa, F. Usui, D. P. Cruikshank, C. M. Dalle Ore, and T. G. Muller, 2012, AKARI observations of minor bodies in the outer solar system, Asteroids, Comets, Meteors 2012, LPI (Houston, TX), 6477.                                                                                                                                       
S14a   Sicardy, B., et al., 2014, Dense and narrow rings discovered around the Centaur object (10199) Chariklo, Asteroids, Comets, Meteors Conference (Helsinki, Finland), p. 513.                                                                                                                                                                                               
S15a   Showalter, M. R., and D. P. Hamilton, 2015, Resonant interactions and chaotic rotation of Pluto's small moons, Nature, 522:45-49.                                                                                                                                                                                                                                         
S15b   Stern, S. A., et al., 2015, The Pluto system: Initial results from its exploration by New Horizons, Science, 350(6258):aad1815.                                                                                                                                                                                                                                           
S17a   Schindler, K., et al., 2017, Results from a triple chord stellar occultation and far-infrared photometry of the trans-Neptunian object (229762) 2007 UK126, Astron. & Astrophys., 600:A12.                                                                                                                                                                                
S17b   Santos-Sanz, P., et al., 2017, "TNOs are cool": A survey of the trans-Neptunian region. XII. Thermal light curves of Haumea, 2003 VS2 and 2003 AZ84 with Herschel/PACS, Astron. & Astrophys., 604:A95.                                                                                                                                                                    
S18a   Stern, S. A., W. M. Grundy, W. B. McKinnon, H. A. Weaver, and L. A. Young, 2018, The Pluto system after New Horizons, Annual Reviews of Astronomy and Astrophysics, 56, forthcoming.                                                                                                                                                                                      
S91a   Sykes, M. V., and R. G. Walker, 1991, Constraints on the diameter and albedo of 2060 Chiron, Science, 251:777-780.                                                                                                                                                                                                                                                        
T00a   Thomas, N., S. Eggers, W.-H. Ip, G. Lichtenberg, A. Fitzsimmons, L. Jorda, H. U. Keller, I. P. Williams, G. Hahn, and H. Rauer, 2000, Observations of the trans-Neptunian objects 1993 SC and 1996 TL66 with the Infrared Space Observatory, Astrophys. J., 534:446-455.                                                                                                  
T05a   Tegler, S. C., W. Romanishin, G. J. Consolmagno, J. Rall, R. Worhatch, M. Nelson, and S. Weidenschilling, 2005, The period of rotation, shape, density, and homogeneous surface color of the Centaur 5145 Pholus, Icarus, 175(2):390-396.                                                                                                                                 
T08a   Tholen, D. J., M. W. Buie, W. M. Grundy, and G. T. Elliott, 2008, Masses of Nix and Hydra, Astron. J., 135:777-784.                                                                                                                                                                                                                                                       
T14a   Thirouin, A., K. S. Noll, J. L. Ortiz, and N. Morales, 2014, Rotational properties of the binary and non-binary populations in the trans-Neptunian belt, Astron. & Astrophys., 569:A3.                                                                                                                                                                                    
T16a   Thirouin, A., et al., 2016, Rotational properties of the Haumea family members and candidates:  Short-term variability, Astrophys. J., 151(6):148.                                                                                                                                                                                                                        
T17a   Thirouin, A., and S. S. Sheppard, 2017, A possible dynamically cold classical contact binary: (126719) 2002 CC249, Astron. J., 154(6):241.                                                                                                                                                                                                                                
T87a   Tholen, D. J., and M. W. Buie, 1987, Pluto and Charon:  Radii, density, and orbital elements from mutual event photometry through 1987, BAAS, 19:859-860.                                                                                                                                                                                                                 
T90a   Tholen, D. J., and M. W. Buie, 1990, Further analysis of Pluto-Charon mutual event observations--1990, BAAS, 22:1129.                                                                                                                                                                                                                                                     
V02a   Veillet, C., J. W. Parker, I. Griffin, B. Marsden, A. Doressoudiram, M. Buie, D. J. Tholen, M. Connelley, and M. J. Holman, 2002, The binary Kuiper-belt object 1998 WW31, Nature, 416:711-713.                                                                                                                                                                           
V12a   Vilenius, E., et al., 2012, "TNOs are cool":  A survey of the trans-Neptunian region. VI. Herschel/PACS observations and thermal modeling of 19 classical Kuiper belt objects, Astron. & Astrophys., 541:A94.                                                                                                                                                             
V14a   Vilenius, E., et al., 2014, "TNOs are cool":  A survey of the trans-Neptunian region. X. Analysis of classical Kuiper belt objects from Herschel and Spitzer observations, Astron. & Astrophys., 564:A35.                                                                                                                                                                 
W16a   Weaver, H. A., et al., 2016, The small satellites of Pluto as observed by New Horizons, Science, 351:aae0030.                                                                                                                                                                                                                                                             
